num_seen,message,empathy,parsed,labels,inds,num_words,polarity
1,loving my family sad for his relationship,affectionate,loving my family sad for his relationship,0,[   0  915 1004  534 1255  584  747 1216    1],7,1.0
1,angry disappointed hopeless,angry,angry disappointed hopeless,1,[  0  61 386 762   1],3,-1.0
1,like i want to scream and beat the shit out of something,angry,like i want to scream and beat the shit out of something,1,[   0  887  788 1624 1525 1271   60  122 1488 1307 1081 1055 1358    1],12,-1.0
1,im sad and angry,angry,im sad and angry,1,[   0  801 1255   60   61    1],4,-1.0
1,i am very angry and very sad,angry,i am very angry and very sad,1,[   0  788   53 1609   61   60 1609 1255    1],7,-1.0
1,jealous and mad,angry,jealous and mad,1,[  0 839  60 921   1],3,-1.0
1,frustrated and angry done with their crap,angry,frustrated and angry done with their crap,1,[   0  600   60   61  406 1670 1489  310    1],7,-1.0
1,good but irritated,annoyed,good but irritated,2,[  0 646 202 827   1],3,-0.8
1,im feeling good but a little anxitios about work,anxious,im feeling good but a little anxitios about work,3,[   0  801  550  646  202    3  895   68    7 1685    1],9,-1.0
1,tenses but good,anxious,tenses but good,3,[   0 1472  202  646    1],3,-1.0
1,not good feel a bit stressful today,anxious,not good feel a bit stressful today,3,[   0 1044  646  548    3  148 1408 1527    1],7,-1.0
1,pressurised but good,anxious,pressurised but good,3,[   0 1158  202  646    1],3,-1.0
1,a little happy，but a little worried,anxious,a little happy but a little worried,3,[   0    3  895  703  202    3  895 1691    1],7,-1.0
1,in the middle of happy and sad,average,in the middle of happy and sad,4,[   0  806 1488  955 1055  703   60 1255    1],7,0.0
1,not too sad not too happy,average,not too sad not too happy,4,[   0 1044 1536 1255 1044 1536  703    1],6,0.0
1,pretty average not too sad,average,pretty average not too sad,4,[   0 1160   98 1044 1536 1255    1],5,0.0
1,not thing good nothing bad,average,not thing good nothing bad,4,[   0 1044 1499  646 1047  110    1],5,0.0
1,not happy but also not sad,average,not happy but also not sad,4,[   0 1044  703  202   48 1044 1255    1],6,0.0
1,not very good but not very bad,average,not very good but not very bad,4,[   0 1044 1609  646  202 1044 1609  110    1],7,0.0
1,i feel okay not awesome but not bad,average,i feel okay not awesome but not bad,4,[   0  788  548 1061 1044  102  202 1044  110    1],8,0.0
1,okay i guess  neither up nor down,average,okay i guess  neither up nor down,4,[   0 1061  788  681 1020 1591 1036  414    1],7,0.0
1,neutral not awful but not wonderful,average,neutral not awful but not wonderful,4,[   0 1023 1044  103  202 1044 1679    1],6,0.0
1,not good nor bad,average,not good nor bad,4,[   0 1044  646 1036  110    1],4,0.0
1,i dont feel sad but im not particularly happy either,average,i dont feel sad but im not particularly happy either,4,[   0  788  407  548 1255  202  801 1044 1102  703  452    1],10,0.0
1,im just chilling im not happy or sad right now,average,im just chilling im not happy or sad right now,4,[   0  801  844  242  801 1044  703 1074 1255 1240 1049    1],10,0.0
1,i am a little low but fairly neutral,average,i am a little low but fairly neutral,4,[   0  788   53    3  895  916  202  531 1023    1],8,0.0
1,feeling good no bad no good you can say neutral,average,feeling good no bad no good you can say neutral,4,[   0  550  646 1033  110 1033  646 1714  211 1267 1023    1],10,0.0
1,low on energy kind of bleh but also happy,average,low on energy kind of bleh but also happy,4,[   0  916 1065  472  853 1055  154  202   48  703    1],9,0.0
1,not bad or good just average,average,not bad or good just average,4,[   0 1044  110 1074  646  844   98    1],6,0.0
1,i feel neutral right now but i was feeling down earlier,average,i feel neutral right now but i was feeling down earlier,4,[   0  788  548 1023 1240 1049  202  788 1627  550  414  439    1],11,0.0
1,alright not too bad not too good,average,alright not too bad not too good,4,[   0   47 1044 1536  110 1044 1536  646    1],7,0.0
1,not happy nor sad,average,not happy nor sad,4,[   0 1044  703 1036 1255    1],4,0.0
1,not that good not that bad,average,not that good not that bad,4,[   0 1044 1486  646 1044 1486  110    1],6,0.0
1,normal not happy not sad,average,normal not happy not sad,4,[   0 1037 1044  703 1044 1255    1],5,0.0
1,up and down today was a little sad but some good came at the end,average,up and down today was a little sad but some good came at the end,4,"[   0 1591   60  414 1527 1627    3  895 1255  202 1355  646  209   92 1488
  468    1]",15,0.0
1,not so bad fluctuating up and down,average,not so bad fluctuating up and down,4,[   0 1044 1349  110  579 1591   60  414    1],7,0.0
1,not bad but no good,average,not bad but no good,4,[   0 1044  110  202 1033  646    1],5,0.0
1,i feel alright not bad not great,average,i feel alright not bad not great,4,[   0  788  548   47 1044  110 1044  670    1],7,0.0
1,pretty even not happy but not sad either kind of content,average,pretty even not happy but not sad either kind of content,4,[   0 1160  490 1044  703  202 1044 1255  452  853 1055  292    1],11,0.0
1,im feeling pretty good kind of unhappy with where i am in life but im learning to make the best of things,average,im feeling pretty good kind of unhappy with where i am in life but im learning to make the best of things,4,"[   0  801  550 1160  646  853 1055 1575 1670 1654  788   53  806  882  202
  801  871 1525  925 1488  136 1055 1500    1]",22,0.0
1,neutral at the moment neither excited nor sad,average,neutral at the moment neither excited nor sad,4,[   0 1023   92 1488  978 1020  506 1036 1255    1],8,0.0
1,neither up nor down blasí©,average,neither up nor down blas  ,4,[   0 1020 1591 1036  414  152    1],5,0.0
1,i feel pretty decent not too bad but not amazing,average,i feel pretty decent not too bad but not amazing,4,[   0  788  548 1160  345 1044 1536  110  202 1044   54    1],10,0.0
1,neutral almost good,average,neutral almost good,4,[   0 1023   43  646    1],3,0.0
